A=4002 B=5748 C=7681 X=792823078 Y=6109071834 Z=22736797288 M=152
A=5074 B=7119 C=8975 X=687539285 Y=3423943823 Z=42331624272 M=52
A=7115 B=6938 C=6276 X=325445742 Y=1229034243 Z=19992634669 M=172
A=2920 B=6917 C=7234 X=142472653 Y=6224928443 Z=38037709748 M=156
A=6504 B=3153 C=6892 X=733370964 Y=9619647067 Z=82514759953 M=164
A=3624 B=3425 C=5091 X=291045024 Y=6928856199 Z=37587362778 M=93
A=7947 B=6517 C=6358 X=360470121 Y=5092521463 Z=64207789853 M=116
A=2369 B=5051 C=8679 X=941505944 Y=8819329980 Z=64279769998 M=114
A=6387 B=3480 C=9876 X=300461359 Y=9361387468 Z=24590959207 M=146
A=7861 B=6353 C=9730 X=573855565 Y=5485035398 Z=84663726230 M=60
A=7649 B=9454 C=9561 X=463396823 Y=5960549664 Z=10760502726 M=172
A=9771 B=7414 C=7571 X=603238565 Y=7978348253 Z=59021455514 M=158
A=4055 B=3286 C=6400 X=392752841 Y=8594315260 Z=69844979107 M=108
A=7152 B=4837 C=7117 X=709049506 Y=2489276002 Z=53451374080 M=56
A=3470 B=3710 C=7608 X=598200190 Y=2092076018 Z=57504152316 M=73
A=4669 B=7909 C=8856 X=102575999 Y=4541431457 Z=95795811044 M=103
A=7703 B=9816 C=6236 X=407930109 Y=3951583787 Z=87826596571 M=130
A=2428 B=5023 C=9451 X=456897695 Y=4095654457 Z=63099196666 M=156
A=8447 B=8696 C=6564 X=798243080 Y=3294080981 Z=94766323373 M=136
A=4737 B=7291 C=7569 X=120185614 Y=9090544305 Z=69741415158 M=54
A=6176 B=4677 C=6415 X=620436936 Y=9652081914 Z=32772802280 M=176
A=7546 B=6537 C=9262 X=904932005 Y=9220782124 Z=69118331596 M=113
A=6387 B=8801 C=9237 X=545081184 Y=5292537455 Z=85552885840 M=147
A=6837 B=6131 C=7509 X=895098570 Y=7847265089 Z=52413636879 M=162
A=9159 B=8293 C=6006 X=982109994 Y=5743543029 Z=68128717202 M=67
A=5886 B=6234 C=9303 X=627997450 Y=4151891623 Z=74804911445 M=156
A=9054 B=7971 C=5582 X=889661629 Y=6833590822 Z=33226838812 M=117
A=9921 B=3746 C=9992 X=285298000 Y=2033084541 Z=12321088898 M=59
A=7203 B=7292 C=5753 X=995445762 Y=6179575399 Z=41780580005 M=192
A=8799 B=9627 C=8882 X=939827294 Y=3616858296 Z=41326484830 M=146
A=6727 B=9733 C=6105 X=280283622 Y=7234179577 Z=46040938760 M=179
A=9115 B=7845 C=8632 X=572944408 Y=3464083213 Z=48375733332 M=84
A=7390 B=9899 C=9282 X=585315374 Y=1066516550 Z=23376320422 M=89
A=2819 B=9319 C=5662 X=521658646 Y=5092008775 Z=28643921725 M=108
A=2943 B=8191 C=5309 X=766059602 Y=2527348463 Z=73999905348 M=193
A=6882 B=7582 C=8497 X=267796685 Y=4831168665 Z=38665568968 M=188
A=4281 B=6599 C=7917 X=987897813 Y=9527916732 Z=91657156663 M=113
A=2028 B=9697 C=7054 X=167477609 Y=6115676249 Z=77549397423 M=127
A=7792 B=4334 C=7068 X=390993614 Y=3830450215 Z=93313842302 M=198
A=6154 B=6345 C=8432 X=563634279 Y=4946495640 Z=79860343772 M=84
A=4128 B=5849 C=6519 X=514956106 Y=1400564045 Z=10148103609 M=161
A=9608 B=3282 C=8861 X=900290940 Y=1016967616 Z=49235505080 M=131
A=2021 B=5891 C=8064 X=478547304 Y=5858864099 Z=57525983135 M=135
A=3544 B=5274 C=6140 X=906824515 Y=5644240745 Z=61289750277 M=59
A=7016 B=3615 C=8493 X=113067355 Y=4808487990 Z=70258149223 M=117
A=8137 B=6160 C=9091 X=951656630 Y=7381996739 Z=23841414283 M=138
A=3615 B=6255 C=8662 X=561571813 Y=7932433072 Z=47012406925 M=154
A=9009 B=4667 C=9432 X=493284595 Y=8308461746 Z=81882104190 M=144
A=3841 B=9104 C=6732 X=626426908 Y=3470567471 Z=81274676175 M=108
A=6531 B=7278 C=6862 X=723454148 Y=2811979140 Z=79443198547 M=56
A=9203 B=4221 C=9060 X=501253186 Y=4130032153 Z=36675551342 M=150
A=5652 B=6192 C=6610 X=192391953 Y=7486144352 Z=54704584080 M=186
A=6619 B=8058 C=7440 X=655781781 Y=4053255594 Z=52765998750 M=94
A=7871 B=5103 C=9218 X=641811591 Y=9130136428 Z=97386511681 M=188
A=9906 B=3046 C=6515 X=188620637 Y=4506713643 Z=67487705736 M=131
A=2313 B=5144 C=8384 X=149708084 Y=9142248604 Z=36280249116 M=156
A=7125 B=8135 C=7311 X=303246036 Y=9770171492 Z=77440371778 M=87
A=9411 B=4577 C=8552 X=759983786 Y=8690390329 Z=21051429470 M=132
A=7373 B=5821 C=7338 X=821586884 Y=6704482745 Z=25666526055 M=90
A=6255 B=4353 C=7222 X=680975899 Y=5497301033 Z=34852540959 M=93
A=4927 B=7677 C=8993 X=746189804 Y=5496661072 Z=94125147257 M=175
A=3321 B=8800 C=5969 X=518628461 Y=3887067477 Z=62915220298 M=79
