A=5639 B=3806 C=9272 X=324213548 Y=1857018146 Z=48481004605 M=8717
A=5379 B=7426 C=5950 X=208936678 Y=7612107670 Z=10382624838 M=3383
A=9958 B=5657 C=6067 X=911669366 Y=7077721514 Z=53524845190 M=3531
A=4571 B=3115 C=5380 X=486344157 Y=2512067813 Z=51094462286 M=9100
A=5680 B=3508 C=6452 X=489636643 Y=5571776494 Z=46633087997 M=6831
A=2094 B=5915 C=6821 X=647178573 Y=9411081017 Z=59687592621 M=6696
A=3478 B=3104 C=6524 X=681763341 Y=4778260035 Z=15022518086 M=4356
A=2596 B=9484 C=5840 X=801615354 Y=1757860553 Z=61774530659 M=2633
A=9500 B=5826 C=5556 X=755615482 Y=9253399438 Z=31552664859 M=3951
A=3038 B=7816 C=7902 X=475870236 Y=9072998712 Z=61461114205 M=3373
A=8432 B=8094 C=5095 X=917015058 Y=7404965453 Z=96203173761 M=1581
A=3192 B=8752 C=7170 X=992560612 Y=4151536320 Z=39003050285 M=3009
A=4720 B=3339 C=5262 X=480213208 Y=8054630150 Z=95009426892 M=4215
A=4222 B=6099 C=6309 X=672226185 Y=6842570060 Z=45182583316 M=3739
A=3425 B=7812 C=9332 X=295970265 Y=3313271981 Z=51854266449 M=9180
A=4849 B=8204 C=7504 X=362948840 Y=5197787091 Z=19333200958 M=3394
A=3979 B=8130 C=9030 X=493565885 Y=8460330090 Z=13727751503 M=1006
A=2799 B=4970 C=5291 X=978601607 Y=2541578159 Z=44076311278 M=5858
A=4346 B=9640 C=6109 X=375781041 Y=1381009300 Z=61218092769 M=7968
A=3675 B=3521 C=9636 X=307862455 Y=2335599818 Z=28291994160 M=6584
A=8787 B=6406 C=6260 X=472845515 Y=7071957351 Z=25331414543 M=9423
A=5741 B=4652 C=5085 X=672861539 Y=6329831247 Z=92174152310 M=9059
A=3058 B=4015 C=6884 X=208456736 Y=5125602377 Z=63222657865 M=1988
A=9046 B=9644 C=8286 X=433776330 Y=8798053932 Z=46990897520 M=3847
A=5658 B=8498 C=9986 X=858276622 Y=6310820765 Z=39974928927 M=5282
A=6366 B=5158 C=9150 X=286783727 Y=9911201530 Z=17715011702 M=9457
A=9474 B=9425 C=9026 X=506835509 Y=6559715671 Z=63257844253 M=6818
A=7332 B=8676 C=8549 X=549214795 Y=1040097725 Z=32037945650 M=4146
A=5935 B=9054 C=6437 X=745611303 Y=4476962811 Z=84911447384 M=2090
A=5044 B=6188 C=8716 X=817920536 Y=7284538263 Z=79313937457 M=7522
A=4491 B=6219 C=9781 X=493212898 Y=5003513203 Z=86029303552 M=6068
A=9482 B=4262 C=8549 X=427334852 Y=3540010899 Z=24451246439 M=1891
A=8025 B=6569 C=5744 X=572681494 Y=2131210447 Z=32288016260 M=3883
A=7214 B=5127 C=8984 X=508109654 Y=4331533687 Z=58296387801 M=1080
A=8374 B=6668 C=8449 X=773205068 Y=7236067928 Z=43158745773 M=6512
A=3033 B=6187 C=8392 X=530295683 Y=7648129247 Z=19143908625 M=9241
A=2024 B=8160 C=6074 X=662564129 Y=4122425537 Z=13582673018 M=8571
A=8940 B=9979 C=7845 X=204897678 Y=6478729019 Z=49389130616 M=2441
A=2911 B=3151 C=6280 X=982512052 Y=3275365390 Z=50080903659 M=5540
A=2985 B=4200 C=7552 X=570339182 Y=6530090505 Z=69403770982 M=7553
A=5030 B=8547 C=8557 X=846957788 Y=9197479872 Z=99474692734 M=9823
A=3153 B=7600 C=6518 X=916860218 Y=2989544578 Z=95615529468 M=2115
A=2954 B=6581 C=7408 X=866565083 Y=8305125406 Z=99078051458 M=7825
A=8790 B=6079 C=9366 X=556314072 Y=9292555348 Z=34014240550 M=6772
A=7105 B=4217 C=5717 X=677505045 Y=4708624171 Z=32715959005 M=8407
A=5968 B=7287 C=9749 X=816474711 Y=9968936661 Z=54810357478 M=7554
A=2904 B=4334 C=6696 X=561200518 Y=6160230247 Z=94721283778 M=2201
A=3280 B=7512 C=8828 X=815623479 Y=7106994382 Z=44080764038 M=7985
A=7549 B=8240 C=5456 X=453561740 Y=6224962438 Z=25603032521 M=6546
A=2314 B=4467 C=7513 X=330552255 Y=5144979234 Z=17854358704 M=3383
A=9052 B=3030 C=7061 X=843447530 Y=9903571179 Z=19244777868 M=8854
A=3795 B=5410 C=8194 X=369206437 Y=5513428786 Z=40878077990 M=7404
A=6243 B=4835 C=9103 X=268088972 Y=6602164749 Z=48834029861 M=9207
A=8692 B=8178 C=8895 X=606146196 Y=2716996947 Z=83862433146 M=9335
A=3192 B=6229 C=7050 X=177465752 Y=7687719465 Z=97691823751 M=1434
A=6979 B=8502 C=6282 X=461937587 Y=3417138962 Z=64614060243 M=3246
A=5892 B=6987 C=5076 X=493800982 Y=7031257599 Z=18281145116 M=6140
A=5833 B=6661 C=5631 X=439199761 Y=3970795796 Z=57050198135 M=4992
A=3974 B=8791 C=8199 X=556816481 Y=1208522893 Z=99908185814 M=9836
A=7518 B=8387 C=5251 X=401971479 Y=4792330907 Z=19747063627 M=1981
A=8045 B=4983 C=7452 X=317897745 Y=7453291681 Z=69640103460 M=8048
A=4022 B=6589 C=6033 X=658490243 Y=7652767026 Z=52094936309 M=9170
A=2770 B=3116 C=5461 X=203141517 Y=5655093131 Z=16300096959 M=7069
A=6743 B=7842 C=7387 X=282230020 Y=7997000457 Z=96841545586 M=7834
A=7115 B=3295 C=5763 X=239221446 Y=9226913957 Z=57446058810 M=3419
A=9354 B=9261 C=8755 X=689411650 Y=1676051578 Z=85026273400 M=4148
A=8065 B=3966 C=6372 X=644784522 Y=9947307263 Z=76366327036 M=6332
A=2703 B=8836 C=9066 X=284213523 Y=1018259437 Z=68259887112 M=6184
A=5628 B=9246 C=6698 X=367508720 Y=8055815821 Z=74121129476 M=9289
A=3436 B=3021 C=7651 X=518293478 Y=6756503315 Z=49745148576 M=3322
A=6563 B=3352 C=7268 X=842694326 Y=3659294148 Z=43573904014 M=1424
A=3291 B=6925 C=8701 X=783025978 Y=2825783206 Z=92956144619 M=2393
A=3583 B=4352 C=5556 X=806544350 Y=1732152659 Z=88541908788 M=7155
A=2831 B=4774 C=5005 X=359835779 Y=5028399453 Z=24315124010 M=6896
A=4217 B=9548 C=5708 X=450342059 Y=3745033584 Z=60072635121 M=3307
A=8995 B=5998 C=9335 X=859740540 Y=8161283796 Z=64503903477 M=8071
A=7478 B=9822 C=5895 X=926487955 Y=2896350470 Z=88870317539 M=9503
A=7806 B=8318 C=8168 X=694774645 Y=5304602631 Z=34122661979 M=7436
A=4972 B=9268 C=5423 X=925201206 Y=9528046938 Z=10999435863 M=6939
A=5946 B=6842 C=5116 X=754423090 Y=3122167178 Z=25469017079 M=2006
A=7924 B=4440 C=6134 X=287257886 Y=8738997465 Z=78897399520 M=2709
A=4689 B=3541 C=6393 X=402034389 Y=1781153642 Z=48601537470 M=5653
A=7363 B=4863 C=9232 X=699627132 Y=6911456170 Z=23333859769 M=3074
A=6876 B=5957 C=8263 X=547235021 Y=3991017475 Z=29148308952 M=1770
A=4783 B=9748 C=7340 X=590796760 Y=5812535998 Z=27720186226 M=6543
A=2658 B=3669 C=6056 X=296514214 Y=1764408719 Z=12935071654 M=1715
A=9824 B=6933 C=8057 X=371190126 Y=2844256900 Z=81749763464 M=8591
A=9844 B=6096 C=6505 X=147282967 Y=9095219749 Z=62645707458 M=4657
A=3366 B=6970 C=8440 X=511767359 Y=3663615773 Z=57726587938 M=6645
A=9350 B=8595 C=5368 X=233064175 Y=9985318848 Z=49804702604 M=3520
A=3406 B=7243 C=8863 X=840624056 Y=6892323865 Z=50260761512 M=1606
A=2142 B=7559 C=7584 X=861797779 Y=4591554785 Z=84922567563 M=7386
A=5958 B=9421 C=7847 X=355199684 Y=5291179192 Z=99514542327 M=1555
A=7179 B=9841 C=7466 X=444687184 Y=4285070175 Z=69997142621 M=3732
A=3104 B=3631 C=8243 X=780537326 Y=2725094666 Z=96032566025 M=3069
A=9849 B=5304 C=5599 X=572929673 Y=7836787350 Z=98398610152 M=4436
A=6819 B=7107 C=5164 X=684363882 Y=5596777235 Z=13212077708 M=4680
A=3138 B=5176 C=8536 X=138802676 Y=5751735129 Z=66741787703 M=3385
A=9848 B=5678 C=7924 X=425748039 Y=6641427230 Z=81048231628 M=6354
A=5338 B=4492 C=9940 X=191719477 Y=9540828492 Z=70831730464 M=2984
A=6846 B=9876 C=5887 X=969614153 Y=5133256607 Z=16285401152 M=1927
A=8573 B=9759 C=9111 X=629522000 Y=2161515653 Z=19648460588 M=6570
A=2878 B=5004 C=8521 X=746393177 Y=3439642927 Z=11963064012 M=6123
A=5699 B=5684 C=6718 X=245309431 Y=1860153642 Z=34057307311 M=9499
A=7144 B=8507 C=8054 X=229789236 Y=3701050905 Z=75219003727 M=6732
A=9667 B=3630 C=5043 X=819348908 Y=7486971795 Z=65487889504 M=5871
A=4153 B=5125 C=9515 X=514925419 Y=5669494547 Z=89257981924 M=1942
A=3796 B=8978 C=9881 X=221497876 Y=7152375782 Z=27525247263 M=8349
A=7839 B=7035 C=6300 X=201303878 Y=8422075253 Z=56553613230 M=7358
A=6611 B=6508 C=8382 X=872056110 Y=2191307054 Z=82152589600 M=2516
A=4258 B=8990 C=6307 X=735927450 Y=5547175920 Z=22691173090 M=8649
A=6299 B=3975 C=7936 X=982353655 Y=5954542854 Z=79623353135 M=4331
A=9660 B=9480 C=7733 X=557351550 Y=8640130196 Z=62194570282 M=4857
A=9969 B=3402 C=7753 X=136167016 Y=1605328418 Z=99564501188 M=8249
A=4593 B=6433 C=5135 X=361051580 Y=3403903539 Z=41991079778 M=7783
A=7533 B=8510 C=8309 X=776331553 Y=2726339336 Z=57337375000 M=9769
A=5249 B=6551 C=7485 X=316244057 Y=8194203200 Z=51436364386 M=1880
A=7721 B=3626 C=6092 X=831045909 Y=7874373890 Z=90639434630 M=1760
A=8176 B=5739 C=7846 X=899372265 Y=7629332003 Z=73658225876 M=2162
A=8706 B=9857 C=9556 X=652572772 Y=7761005216 Z=24199154271 M=7690
A=9160 B=9892 C=5857 X=750023683 Y=1114044405 Z=63836146560 M=9432
A=9884 B=4809 C=6310 X=821146898 Y=7736917264 Z=80263542172 M=1710
A=3862 B=4219 C=6067 X=313422822 Y=4653749668 Z=73497247351 M=8646
A=4854 B=3640 C=6697 X=826584776 Y=3245094456 Z=86806138756 M=1914
A=8989 B=3534 C=5475 X=560288762 Y=1182772530 Z=38479063817 M=2312
A=7020 B=4411 C=6740 X=184445369 Y=9517574040 Z=23605619624 M=3545
A=5663 B=7214 C=7447 X=716164748 Y=2212353887 Z=41678614793 M=7442
A=5833 B=5385 C=6540 X=882659689 Y=3835574839 Z=13578743592 M=7334
A=3449 B=4722 C=8041 X=410616812 Y=5317815483 Z=44533266415 M=7425
A=6626 B=6060 C=9002 X=138297530 Y=4147289108 Z=66158104472 M=5015
A=9476 B=7367 C=6306 X=927201904 Y=9896566117 Z=94182335153 M=7121
A=7088 B=9473 C=8889 X=454231378 Y=6160739059 Z=30027820888 M=7084
A=3589 B=5844 C=8629 X=464897031 Y=8581403466 Z=84533099916 M=7404
A=7049 B=5837 C=6923 X=537731844 Y=2082038937 Z=86083902349 M=2953
A=2257 B=5427 C=7656 X=269484632 Y=7394704383 Z=20606862760 M=8470
A=5039 B=7151 C=5563 X=486761060 Y=1319410737 Z=46786025428 M=1855
A=9425 B=6447 C=5319 X=186720578 Y=4927343476 Z=49107260190 M=8945
A=3128 B=8508 C=7628 X=171605585 Y=3428002900 Z=80723674096 M=7488
A=6042 B=9536 C=6120 X=350013386 Y=5276444195 Z=53216660469 M=7780
A=8900 B=5044 C=8873 X=121658132 Y=5909438249 Z=53436266622 M=1992
A=6661 B=8445 C=5402 X=986875290 Y=1391645821 Z=69542166393 M=3299
A=4688 B=6910 C=9192 X=179719989 Y=9580288069 Z=92088124844 M=5979
A=5990 B=7374 C=8048 X=569881952 Y=1509473818 Z=48738358471 M=7714
A=4405 B=7909 C=7382 X=392536044 Y=6638934979 Z=74045691214 M=9101
A=9570 B=7039 C=7793 X=141421147 Y=4983931967 Z=17068673614 M=9810
A=9987 B=7946 C=8594 X=150989110 Y=6226414884 Z=58354017109 M=3810
A=9166 B=7812 C=6620 X=572820938 Y=3917941163 Z=68580253713 M=3068
A=9213 B=3740 C=8931 X=272219019 Y=8400509795 Z=15469028964 M=9398
A=5501 B=9776 C=7186 X=444154837 Y=4644098021 Z=41008320688 M=4360
A=6536 B=6143 C=6758 X=958326040 Y=4107337371 Z=69602924910 M=5740
A=7500 B=5376 C=7119 X=442080309 Y=1554222962 Z=76953935051 M=4488
A=7187 B=5520 C=8010 X=272213241 Y=2417577576 Z=21812379631 M=9383
A=9822 B=3316 C=9841 X=636152969 Y=1397924959 Z=73857366728 M=3786
A=4196 B=6079 C=7851 X=299332051 Y=4412442472 Z=95662249731 M=8176
A=5008 B=5891 C=8643 X=297658443 Y=2804706248 Z=40924017549 M=8604
A=5935 B=9930 C=7441 X=306193983 Y=3046510737 Z=38761475099 M=3197
A=8750 B=4762 C=8163 X=813040820 Y=1964151046 Z=90430265478 M=1574
A=5006 B=5443 C=9628 X=276881832 Y=7154575396 Z=29303631283 M=9094
A=7741 B=7308 C=7961 X=746608884 Y=3541679988 Z=37096053715 M=4892
A=9065 B=6884 C=7091 X=149477473 Y=1370431455 Z=75143071183 M=5965
A=4296 B=5420 C=6019 X=584062899 Y=3735005577 Z=19871249542 M=4383
A=5799 B=8556 C=9119 X=446025597 Y=1898783931 Z=86056055823 M=5595
A=9673 B=3037 C=7079 X=981965330 Y=6936842368 Z=35015753637 M=4891
A=6669 B=4196 C=9225 X=878627335 Y=3644719113 Z=58543626197 M=6248
A=5588 B=3203 C=5853 X=856945022 Y=7995795248 Z=96363604374 M=5904
A=2543 B=9629 C=5584 X=680283644 Y=1961589652 Z=61481467809 M=3784
A=6801 B=9660 C=5990 X=583490237 Y=7011645488 Z=13976461234 M=4825
A=7588 B=5150 C=6872 X=887433474 Y=3352555960 Z=43609287799 M=8405
A=9344 B=6682 C=5763 X=334972189 Y=9588582114 Z=37199286742 M=5216
A=2659 B=5273 C=5219 X=928777013 Y=5975136077 Z=86339485419 M=4366
A=2093 B=8944 C=7853 X=209070187 Y=6305905081 Z=90727561380 M=5761
A=2311 B=6870 C=9961 X=207942719 Y=8465223419 Z=78537118135 M=9966
A=9761 B=3103 C=7838 X=194354254 Y=1282587067 Z=97011016940 M=8534
A=8206 B=5713 C=7389 X=962692123 Y=1206528907 Z=29242707158 M=7622
A=5370 B=9499 C=9591 X=943021396 Y=5922536252 Z=67806093916 M=7845
A=5499 B=4722 C=7564 X=948794666 Y=1316107555 Z=30062469979 M=6079
A=5658 B=5550 C=9174 X=830215117 Y=6363784984 Z=81862059071 M=3419
A=7670 B=5379 C=5460 X=918065222 Y=5713864759 Z=10623590754 M=9862
A=2112 B=4988 C=8544 X=676324867 Y=1752966134 Z=50632843245 M=7495
A=9623 B=9669 C=7362 X=649351641 Y=7487599430 Z=18614389433 M=4152
A=2485 B=3351 C=9943 X=953510900 Y=6408546363 Z=95571161452 M=3213
A=8527 B=3566 C=6341 X=208592931 Y=7551992861 Z=25709795308 M=2052
A=7972 B=8565 C=7127 X=715663880 Y=1667494308 Z=83506639964 M=5359
A=7840 B=9058 C=7542 X=330526781 Y=6670348778 Z=72883408541 M=7570
A=3407 B=6706 C=5782 X=269629138 Y=7147366355 Z=73226673922 M=5526
A=2229 B=8121 C=5284 X=750630515 Y=5639263452 Z=90645515476 M=5459
A=2598 B=5867 C=7110 X=158383268 Y=6945683978 Z=54847412757 M=3043
A=2347 B=5766 C=6328 X=751286020 Y=2748362707 Z=71754900799 M=3017
A=4828 B=3907 C=8468 X=452344555 Y=6647313351 Z=68151079656 M=3215
A=6150 B=3135 C=9082 X=339132330 Y=2007814120 Z=92793845948 M=6846
A=4274 B=6925 C=7617 X=765583377 Y=9425894588 Z=93824759810 M=9994
A=2110 B=3531 C=5255 X=490025747 Y=5284113708 Z=73288426960 M=8317
A=4657 B=5022 C=5806 X=567477627 Y=8840139379 Z=53357432445 M=9302
A=4803 B=7675 C=7490 X=899570824 Y=5983946507 Z=26991677204 M=9848
A=2137 B=8741 C=9003 X=517155399 Y=3094356889 Z=85063585679 M=6858
A=6954 B=3623 C=6414 X=383547137 Y=2841037374 Z=71645832628 M=8022
A=3935 B=5832 C=8819 X=229498805 Y=4086645558 Z=18152041768 M=1563
A=2722 B=7905 C=5801 X=617689276 Y=1748514169 Z=58626979743 M=2364
A=5043 B=5345 C=8876 X=235188169 Y=7225626164 Z=88492731697 M=1063
A=8064 B=6787 C=6362 X=860237999 Y=4773340420 Z=89673963238 M=6161
A=9957 B=4653 C=9852 X=607398309 Y=6245490243 Z=40387990799 M=7241
A=6700 B=3215 C=7835 X=974120922 Y=6335100560 Z=24305999034 M=3437
A=4361 B=5948 C=9536 X=384902429 Y=7267440988 Z=33997329843 M=5911
A=3758 B=7374 C=8042 X=121198272 Y=7040297419 Z=58810927147 M=3562
A=6729 B=4198 C=5849 X=920813642 Y=9993996700 Z=19583522914 M=5401
A=3908 B=7907 C=9017 X=651099701 Y=3702015541 Z=80483962242 M=8927
A=2816 B=4449 C=5625 X=647959547 Y=4970539156 Z=42764965932 M=1163
A=9089 B=3368 C=7409 X=814395455 Y=1536908774 Z=95921862863 M=7930
A=9428 B=9672 C=7991 X=707344108 Y=3420668684 Z=28227160045 M=9388
A=4163 B=8707 C=7066 X=738514254 Y=2155369511 Z=43038157873 M=2444
A=2416 B=3625 C=8068 X=774436081 Y=6037959304 Z=82232669621 M=2280
A=9575 B=6972 C=8786 X=839055031 Y=1967956052 Z=36834077110 M=8581
A=5829 B=6788 C=9014 X=978520988 Y=6572437347 Z=99893117319 M=3664
A=5988 B=7060 C=6540 X=645622364 Y=2931351965 Z=54715649880 M=7273
A=5001 B=9114 C=8429 X=858332060 Y=9384043912 Z=75775964230 M=1565
A=7915 B=6121 C=7120 X=244869866 Y=5385117716 Z=39781007446 M=4360
A=5945 B=4051 C=9172 X=135079484 Y=3129759584 Z=13686432036 M=7130
A=7363 B=6292 C=5721 X=756523065 Y=7121018120 Z=84800352202 M=7184
A=5882 B=3433 C=6063 X=532073857 Y=6793016046 Z=41200349590 M=2646
A=3814 B=7314 C=5321 X=379085212 Y=5999149308 Z=42986852506 M=3048
A=3786 B=3382 C=5206 X=493014050 Y=2843453133 Z=18859012466 M=5700
A=2813 B=5005 C=6439 X=342868878 Y=8122754359 Z=10895800665 M=2130
A=6451 B=3465 C=7422 X=600061050 Y=8386561969 Z=38612432920 M=6092
A=2709 B=9633 C=8193 X=227467569 Y=3643845201 Z=36651441883 M=9681
A=6394 B=5323 C=9016 X=512353281 Y=6029807440 Z=61702154654 M=3112
A=4351 B=3527 C=8013 X=957489281 Y=2831243494 Z=55302012079 M=4948
A=6578 B=4974 C=9254 X=494421029 Y=7920359969 Z=35534612162 M=1252
A=2288 B=7625 C=7909 X=527648723 Y=6185302009 Z=34073247445 M=5854
A=3540 B=6763 C=9662 X=909674099 Y=3399411445 Z=15449376799 M=4491
A=3854 B=6452 C=9665 X=756483121 Y=9257823607 Z=85616375205 M=3529
A=6315 B=5230 C=6685 X=387285273 Y=5121439829 Z=14960582750 M=8554
A=3588 B=5988 C=7740 X=871255877 Y=6028352887 Z=71095022022 M=7217
A=2149 B=9637 C=5071 X=666749734 Y=3490115608 Z=20889575335 M=1811
A=3946 B=8757 C=6833 X=845104707 Y=7048647745 Z=92109737105 M=3878
A=2294 B=9441 C=9760 X=857603138 Y=8802776520 Z=93924174742 M=1972
A=8033 B=4500 C=6700 X=413066525 Y=6707787570 Z=26174274018 M=9116
A=7363 B=8454 C=7311 X=955941844 Y=4255425247 Z=52168808703 M=5282
A=4711 B=4535 C=6703 X=628968795 Y=2176816161 Z=81241133086 M=4251
A=7948 B=4978 C=5238 X=922467327 Y=8460086332 Z=35373564012 M=4096
A=3250 B=6415 C=7732 X=652473760 Y=6434716739 Z=73018503575 M=5227
A=2839 B=7471 C=9776 X=211489113 Y=3707312322 Z=32735186274 M=6353
A=8793 B=9703 C=9100 X=906361823 Y=2567449124 Z=15446594699 M=4955
A=9045 B=7002 C=6861 X=316829183 Y=5218523744 Z=63469582282 M=9584
A=8484 B=3780 C=6193 X=675701473 Y=4533245297 Z=25639638972 M=5200
A=2506 B=9427 C=6746 X=632293972 Y=5235766646 Z=69612360183 M=6936
A=4822 B=9050 C=7381 X=110035415 Y=1617871026 Z=67843637608 M=9582
A=7320 B=4729 C=6548 X=772432824 Y=9235771256 Z=72262975721 M=5638
A=2598 B=9240 C=5086 X=198010983 Y=5610984992 Z=10858829760 M=6363
A=3416 B=6095 C=9192 X=131064378 Y=2230526651 Z=65458485090 M=1690
A=3943 B=9060 C=9962 X=453881948 Y=9656538198 Z=88297165175 M=4263
A=4915 B=8622 C=5172 X=942401400 Y=5519071222 Z=68510732370 M=9105
A=8782 B=7935 C=5694 X=482559217 Y=7422207101 Z=57410063737 M=7820
A=4859 B=9040 C=8031 X=443005612 Y=6658679943 Z=12694940319 M=4662
A=7094 B=7423 C=5959 X=194732717 Y=7882305754 Z=86200602745 M=2946
A=9509 B=5608 C=8260 X=590305625 Y=2509251594 Z=85899921922 M=8117
A=6058 B=9931 C=8738 X=864717075 Y=6328990966 Z=46522189150 M=2368
A=4137 B=4693 C=8756 X=933007779 Y=6891469807 Z=55298264623 M=3703
A=7470 B=7518 C=8313 X=176665445 Y=2677103623 Z=36988399793 M=5020
A=2387 B=9887 C=7371 X=340197296 Y=8717700357 Z=59078318252 M=4423
A=8834 B=4567 C=7211 X=948242033 Y=4973013134 Z=54531305117 M=9620
A=5730 B=9295 C=7259 X=225441423 Y=5362015170 Z=61688790628 M=5506
A=5008 B=7627 C=6422 X=621802948 Y=9148051415 Z=93252221692 M=7408
A=6175 B=5821 C=5344 X=659793614 Y=3517380998 Z=73547706373 M=6800
A=7410 B=8687 C=6765 X=712764357 Y=5177716302 Z=88368435049 M=9991
A=5251 B=4553 C=7407 X=917897895 Y=5222509400 Z=41277193472 M=5101
A=9695 B=6151 C=9480 X=851407122 Y=3894107105 Z=18413879440 M=3882
A=8469 B=5126 C=6046 X=965307894 Y=1125377093 Z=41524936689 M=2681
A=5254 B=4154 C=6389 X=445902883 Y=8192690735 Z=61920224518 M=6728
